QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,,,,,,,,,,,,213090_s_at,227954_at,210738_s_at,,,
,,,,,,,,,,,,213096_at,227956_at,210067_at,,,
,,,,,,,,,,,,213277_at,228057_at,210492_at,,,
,,,,,,,,,,,,213281_at,228074_at,233549_at,,,
,,,,,,,,,,,,213284_at,228294_s_at,237397_at,,,
,,,,,,,,,,,,213319_s_at,228750_at,218274_s_at,,,
,,,,,,,,,,,,213338_at,228815_s_at,205673_s_at,,,
,,,,,,,,,,,,213350_at,228904_at,211357_s_at,,,
,,,,,,,,,,,,213356_x_at,229156_s_at,206030_at,,,
,,,,,,,,,,,,213377_x_at,229157_at,222025_s_at,,,
,,,,,,,,,,,,213406_at,229218_at,223587_s_at,,,
,,,,,,,,,,,,213461_at,229239_x_at,206262_at,,,
,,,,,,,,,,,,213503_x_at,229489_at,233547_x_at,,,
,,,,,,,,,,,,213506_at,229530_at,204253_s_at,,,
,,,,,,,,,,,,213631_x_at,229539_at,236952_at,,,
,,,,,,,,,,,,213646_x_at,229574_at,206155_at,,,
,,,,,,,,,,,,213688_at,229639_s_at,219850_s_at,,,
,,,,,,,,,,,,213710_s_at,229931_at,1568872_at,,,
,,,,,,,,,,,,213796_at,230103_at,1569403_at,,,
,,,,,,,,,,,,214001_x_at,230318_at,220197_at,,,
,,,,,,,,,,,,214023_x_at,230375_at,215798_at,,,
,,,,,,,,,,,,214031_s_at,230499_at,211259_s_at,,,
,,,,,,,,,,,,214056_at,231130_at,1552790_a_at,,,
,,,,,,,,,,,,214057_at,231144_at,229185_at,,,
,,,,,,,,,,,,214097_at,231147_at,205244_s_at,,,
,,,,,,,,,,,,214180_at,231224_x_at,203088_at,,,
,,,,,,,,,,,,214213_x_at,231340_at,236481_at,,,
,,,,,,,,,,,,214245_at,231579_s_at,218451_at,,,
,,,,,,,,,,,,214271_x_at,232235_at,206254_at,,,
,,,,,,,,,,,,214280_x_at,232238_at,201242_s_at,,,
,,,,,,,,,,,,214282_at,232268_at,202139_at,,,
,,,,,,,,,,,,214291_at,232393_at,238847_at,,,
,,,,,,,,,,,,214317_x_at,232458_at,211322_s_at,,,
,,,,,,,,,,,,214326_x_at,232617_at,230460_at,,,
,,,,,,,,,,,,214351_x_at,232716_at,237515_at,,,
,,,,,,,,,,,,214399_s_at,232825_s_at,230124_at,,,
,,,,,,,,,,,,214465_at,232914_s_at,1558874_a_at,,,
,,,,,,,,,,,,214549_x_at,233006_at,217711_at,,,
,,,,,,,,,,,,214587_at,233952_s_at,214910_s_at,,,
,,,,,,,,,,,,214733_s_at,234104_at,206340_at,,,
,,,,,,,,,,,,214786_at,234194_at,214091_s_at,,,
,,,,,,,,,,,,214866_at,234332_at,206840_at,,,
,,,,,,,,,,,,214976_at,234646_at,205625_s_at,,,
,,,,,,,,,,,,215062_at,234992_x_at,228366_at,,,
,,,,,,,,,,,,215066_at,235178_x_at,210862_s_at,,,
,,,,,,,,,,,,215087_at,235246_at,233231_at,,,
,,,,,,,,,,,,215111_s_at,235318_at,227522_at,,,
,,,,,,,,,,,,215155_at,235471_at,203543_s_at,,,
,,,,,,,,,,,,215157_x_at,235499_at,213592_at,,,
,,,,,,,,,,,,215182_x_at,235588_at,210299_s_at,,,
,,,,,,,,,,,,215420_at,235629_at,238514_at,,,
,,,,,,,,,,,,215455_at,235859_at,221661_at,,,
,,,,,,,,,,,,215459_at,236116_at,1564459_at,,,
,,,,,,,,,,,,215464_s_at,236228_at,207885_at,,,
,,,,,,,,,,,,215485_s_at,236348_at,203697_at,,,
,,,,,,,,,,,,215691_x_at,236401_at,208942_s_at,,,
,,,,,,,,,,,,215706_x_at,236455_at,238911_at,,,
,,,,,,,,,,,,215728_s_at,236569_at,233277_at,,,
,,,,,,,,,,,,215823_x_at,236583_at,240099_at,,,
,,,,,,,,,,,,215834_x_at,236599_at,1554668_a_at,,,
,,,,,,,,,,,,215835_at,236670_s_at,205364_at,,,
,,,,,,,,,,,,215869_at,236901_at,211925_s_at,,,
,,,,,,,,,,,,215876_at,237104_at,234981_x_at,,,
,,,,,,,,,,,,216041_x_at,237165_at,229229_at,,,
,,,,,,,,,,,,216055_at,237176_at,208396_s_at,,,
,,,,,,,,,,,,216066_at,237241_at,227753_at,,,
,,,,,,,,,,,,216183_at,237722_at,232404_at,,,
,,,,,,,,,,,,216204_at,238361_s_at,207102_at,,,
,,,,,,,,,,,,216405_at,238481_at,243556_at,,,
,,,,,,,,,,,,216497_at,238583_at,209291_at,,,
,,,,,,,,,,,,216505_x_at,238666_at,238419_at,,,
,,,,,,,,,,,,216559_x_at,238858_at,238518_x_at,,,
,,,,,,,,,,,,216641_s_at,238977_at,225571_at,,,
,,,,,,,,,,,,216705_s_at,239002_at,212143_s_at,,,
,,,,,,,,,,,,216821_at,239358_at,206753_at,,,
,,,,,,,,,,,,216884_at,239393_at,231058_at,,,
,,,,,,,,,,,,216915_s_at,239449_at,207418_s_at,,,
,,,,,,,,,,,,217024_x_at,239555_at,224179_s_at,,,
,,,,,,,,,,,,217074_at,239580_at,205799_s_at,,,
,,,,,,,,,,,,217112_at,239597_at,225817_at,,,
,,,,,,,,,,,,217298_at,239641_at,203824_at,,,
,,,,,,,,,,,,217336_at,239745_at,221139_s_at,,,
,,,,,,,,,,,,217353_at,239769_at,206294_at,,,
,,,,,,,,,,,,217647_at,239887_at,1559245_at,,,
,,,,,,,,,,,,217655_at,240225_at,205911_at,,,
,,,,,,,,,,,,217728_at,240286_at,219986_s_at,,,
,,,,,,,,,,,,217747_s_at,240382_at,1560105_at,,,
,,,,,,,,,,,,217767_at,240496_at,227055_at,,,
,,,,,,,,,,,,217795_s_at,240556_at,221142_s_at,,,
,,,,,,,,,,,,217943_s_at,240564_x_at,216185_at,,,
,,,,,,,,,,,,217996_at,240571_at,235438_at,,,
,,,,,,,,,,,,217997_at,240659_x_at,220061_at,,,
,,,,,,,,,,,,217998_at,240891_at,1562898_at,,,
,,,,,,,,,,,,217999_s_at,241022_at,210614_at,,,
,,,,,,,,,,,,218000_s_at,241026_at,204509_at,,,
,,,,,,,,,,,,218072_at,241252_at,207213_s_at,,,
,,,,,,,,,,,,218084_x_at,241272_at,209614_at,,,
,,,,,,,,,,,,218148_at,241305_at,230573_at,,,
,,,,,,,,,,,,218182_s_at,241306_at,228474_s_at,,,
,,,,,,,,,,,,218368_s_at,241416_at,207749_s_at,,,
,,,,,,,,,,,,218384_at,241473_at,212950_at,,,
,,,,,,,,,,,,218473_s_at,241551_at,222938_x_at,,,
,,,,,,,,,,,,218656_s_at,241780_at,205710_at,,,
,,,,,,,,,,,,218729_at,241795_at,244419_at,,,
,,,,,,,,,,,,218764_at,241816_at,204992_s_at,,,
,,,,,,,,,,,,218792_s_at,241907_at,213933_at,,,
,,,,,,,,,,,,218828_at,241954_at,241861_at,,,
,,,,,,,,,,,,218843_at,242024_at,218773_s_at,,,
,,,,,,,,,,,,218880_at,242452_at,239158_at,,,
,,,,,,,,,,,,218881_s_at,242460_at,237468_at,,,
,,,,,,,,,,,,218918_at,242605_at,243168_at,,,
,,,,,,,,,,,,219025_at,242652_at,224812_at,,,
,,,,,,,,,,,,219167_at,242871_at,215300_s_at,,,
,,,,,,,,,,,,219213_at,243140_at,1554094_at,,,
,,,,,,,,,,,,219249_s_at,243160_at,229258_at,,,
,,,,,,,,,,,,219255_x_at,243182_at,1431_at,,,
,,,,,,,,,,,,219257_s_at,243193_at,215100_at,,,
,,,,,,,,,,,,219410_at,243233_at,211548_s_at,,,
,,,,,,,,,,,,219654_at,243243_at,216763_at,,,
,,,,,,,,,,,,219677_at,243540_at,203059_s_at,,,
,,,,,,,,,,,,220016_at,243633_at,204447_at,,,
,,,,,,,,,,,,220199_s_at,243658_at,211518_s_at,,,
,,,,,,,,,,,,221269_s_at,243852_at,207810_at,,,
,,,,,,,,,,,,221496_s_at,244010_at,234133_s_at,,,
,,,,,,,,,,,,221539_at,244036_at,205317_s_at,,,
,,,,,,,,,,,,221576_at,244057_s_at,239593_at,,,
,,,,,,,,,,,,221577_x_at,244058_at,238995_at,,,
,,,,,,,,,,,,221610_s_at,244083_at,202986_at,,,
,,,,,,,,,,,,221676_s_at,244173_at,205442_at,,,
,,,,,,,,,,,,222015_at,244205_at,211494_s_at,,,
,,,,,,,,,,,,222036_s_at,244239_at,203434_s_at,,,
,,,,,,,,,,,,222037_at,244446_at,201150_s_at,,,
,,,,,,,,,,,,222040_at,244523_at,237283_at,,,
,,,,,,,,,,,,222162_s_at,244592_at,204059_s_at,,,
,,,,,,,,,,,,222243_s_at,244645_at,205844_at,,,
,,,,,,,,,,,,222344_at,244747_at,207131_x_at,,,
,,,,,,,,,,,,222409_at,244852_at,222100_at,,,
,,,,,,,,,,,,222418_s_at,37408_at,244742_at,,,
,,,,,,,,,,,,222482_at,38487_at,241141_at,,,
,,,,,,,,,,,,222486_s_at,61734_at,203070_at,,,
,,,,,,,,,,,,222549_at,64942_at,1553972_a_at,,,
,,,,,,,,,,,,222644_s_at,,224042_at,,,
,,,,,,,,,,,,222746_s_at,,240422_at,,,
,,,,,,,,,,,,222802_at,,1563425_at,,,
,,,,,,,,,,,,222817_at,,205498_at,,,
,,,,,,,,,,,,222906_at,,233634_at,,,
,,,,,,,,,,,,222996_s_at,,243325_at,,,
,,,,,,,,,,,,223170_at,,240114_s_at,,,
,,,,,,,,,,,,223208_at,,210066_s_at,,,
,,,,,,,,,,,,223226_x_at,,211488_s_at,,,
,,,,,,,,,,,,223467_at,,209094_at,,,
,,,,,,,,,,,,223498_at,,204973_at,,,
,,,,,,,,,,,,223625_at,,233856_at,,,
,,,,,,,,,,,,223635_s_at,,230687_at,,,
,,,,,,,,,,,,224096_at,,1553003_at,,,
,,,,,,,,,,,,224156_x_at,,211417_x_at,,,
,,,,,,,,,,,,224252_s_at,,203615_x_at,,,
,,,,,,,,,,,,224361_s_at,,222513_s_at,,,
,,,,,,,,,,,,224450_s_at,,1556345_s_at,,,
,,,,,,,,,,,,224495_at,,236947_at,,,
,,,,,,,,,,,,224496_s_at,,222257_s_at,,,
,,,,,,,,,,,,224516_s_at,,205151_s_at,,,
,,,,,,,,,,,,224606_at,,209277_at,,,
,,,,,,,,,,,,224609_at,,213591_at,,,
,,,,,,,,,,,,224650_at,,224198_at,,,
,,,,,,,,,,,,224677_x_at,,213285_at,,,
,,,,,,,,,,,,224733_at,,221879_at,,,
,,,,,,,,,,,,224830_at,,204934_s_at,,,
,,,,,,,,,,,,224839_s_at,,201540_at,,,
,,,,,,,,,,,,224910_at,,205751_at,,,
,,,,,,,,,,,,224927_at,,221748_s_at,,,
,,,,,,,,,,,,224940_s_at,,205769_at,,,
,,,,,,,,,,,,224941_at,,225855_at,,,
,,,,,,,,,,,,224942_at,,221163_s_at,,,
,,,,,,,,,,,,225001_at,,218275_at,,,
,,,,,,,,,,,,225025_at,,205102_at,,,
,,,,,,,,,,,,225175_s_at,,1568898_at,,,
,,,,,,,,,,,,225186_at,,242494_at,,,
,,,,,,,,,,,,225188_at,,205627_at,,,
,,,,,,,,,,,,225189_s_at,,1553341_at,,,
,,,,,,,,,,,,225262_at,,213524_s_at,,,
,,,,,,,,,,,,225289_at,,1564129_a_at,,,
,,,,,,,,,,,,225592_at,,205803_s_at,,,
,,,,,,,,,,,,225756_at,,223686_at,,,
,,,,,,,,,,,,225763_at,,205236_x_at,,,
,,,,,,,,,,,,225806_at,,235305_s_at,,,
,,,,,,,,,,,,225807_at,,1555358_a_at,,,
,,,,,,,,,,,,225842_at,,209343_at,,,
,,,,,,,,,,,,225868_at,,208005_at,,,
,,,,,,,,,,,,225927_at,,1554947_at,,,
,,,,,,,,,,,,226061_s_at,,238440_at,,,
,,,,,,,,,,,,226075_at,,205850_s_at,,,
,,,,,,,,,,,,226184_at,,226851_at,,,
,,,,,,,,,,,,226237_at,,232360_at,,,
,,,,,,,,,,,,226245_at,,215687_x_at,,,
,,,,,,,,,,,,226246_at,,233463_at,,,
,,,,,,,,,,,,226279_at,,221215_s_at,,,
,,,,,,,,,,,,226417_at,,89977_at,,,
,,,,,,,,,,,,226489_at,,207567_at,,,
,,,,,,,,,,,,226518_at,,209470_s_at,,,
,,,,,,,,,,,,226523_at,,215316_at,,,
,,,,,,,,,,,,226632_at,,242244_at,,,
,,,,,,,,,,,,226847_at,,219464_at,,,
,,,,,,,,,,,,226858_at,,216595_at,,,
,,,,,,,,,,,,226944_at,,241603_at,,,
,,,,,,,,,,,,226961_at,,233206_at,,,
,,,,,,,,,,,,227095_at,,215638_at,,,
,,,,,,,,,,,,227128_s_at,,1555175_a_at,,,
,,,,,,,,,,,,227175_at,,239350_at,,,
,,,,,,,,,,,,227239_at,,1566149_at,,,
,,,,,,,,,,,,227253_at,,201839_s_at,,,
,,,,,,,,,,,,227397_at,,217202_s_at,,,
,,,,,,,,,,,,227501_at,,229337_at,,,
,,,,,,,,,,,,227529_s_at,,220303_at,,,
,,,,,,,,,,,,227530_at,,1553589_a_at,,,
,,,,,,,,,,,,227863_at,,203788_s_at,,,
,,,,,,,,,,,,227886_at,,1552789_at,,,
,,,,,,,,,,,,228016_s_at,,214776_x_at,,,
,,,,,,,,,,,,228126_x_at,,227474_at,,,
,,,,,,,,,,,,228128_x_at,,1554375_a_at,,,
,,,,,,,,,,,,228229_at,,237139_at,,,
,,,,,,,,,,,,228331_at,,209591_s_at,,,
,,,,,,,,,,,,228332_s_at,,243713_at,,,
,,,,,,,,,,,,228365_at,,226228_at,,,
,,,,,,,,,,,,228421_s_at,,1559351_at,,,
,,,,,,,,,,,,228580_at,,1562165_at,,,
,,,,,,,,,,,,228634_s_at,,242278_at,,,
,,,,,,,,,,,,228808_s_at,,203473_at,,,
,,,,,,,,,,,,228923_at,,207386_at,,,
,,,,,,,,,,,,229117_s_at,,208369_s_at,,,
,,,,,,,,,,,,229140_at,,1559239_s_at,,,
,,,,,,,,,,,,229183_at,,219316_s_at,,,
,,,,,,,,,,,,229269_x_at,,237496_at,,,
,,,,,,,,,,,,229270_x_at,,214641_at,,,
,,,,,,,,,,,,229358_at,,201149_s_at,,,
,,,,,,,,,,,,229441_at,,205311_at,,,
,,,,,,,,,,,,229674_at,,229851_s_at,,,
,,,,,,,,,,,,229868_s_at,,221950_at,,,
,,,,,,,,,,,,230015_at,,204187_at,,,
,,,,,,,,,,,,230202_at,,204865_at,,,
,,,,,,,,,,,,230374_at,,1559623_at,,,
,,,,,,,,,,,,230424_at,,205380_at,,,
,,,,,,,,,,,,230660_at,,225301_s_at,,,
,,,,,,,,,,,,230663_at,,1553062_at,,,
,,,,,,,,,,,,230879_at,,241915_at,,,
,,,,,,,,,,,,231045_x_at,,121_at,,,
,,,,,,,,,,,,231067_s_at,,221589_s_at,,,
,,,,,,,,,,,,231075_x_at,,225972_at,,,
,,,,,,,,,,,,231097_at,,1569689_s_at,,,
,,,,,,,,,,,,231100_at,,233718_at,,,
,,,,,,,,,,,,231295_at,,200795_at,,,
,,,,,,,,,,,,231396_s_at,,242736_at,,,
,,,,,,,,,,,,231411_at,,241565_at,,,
,,,,,,,,,,,,231476_at,,231683_at,,,
,,,,,,,,,,,,231699_at,,64408_s_at,,,
,,,,,,,,,,,,231878_at,,240144_at,,,
,,,,,,,,,,,,231961_at,,242341_x_at,,,
,,,,,,,,,,,,232248_at,,236972_at,,,
,,,,,,,,,,,,232290_at,,219205_at,,,
,,,,,,,,,,,,232421_at,,1560559_at,,,
,,,,,,,,,,,,232623_at,,235526_at,,,
,,,,,,,,,,,,232748_at,,220502_s_at,,,
,,,,,,,,,,,,232935_at,,242936_at,,,
,,,,,,,,,,,,233011_at,,215471_s_at,,,
,,,,,,,,,,,,233056_x_at,,227830_at,,,
,,,,,,,,,,,,233317_at,,214164_x_at,,,
,,,,,,,,,,,,233322_at,,241584_at,,,
,,,,,,,,,,,,233411_at,,231955_s_at,,,
,,,,,,,,,,,,233427_x_at,,241604_at,,,
,,,,,,,,,,,,233480_at,,206527_at,,,
,,,,,,,,,,,,233489_at,,227962_at,,,
,,,,,,,,,,,,233652_at,,211602_s_at,,,
,,,,,,,,,,,,233955_x_at,,216898_s_at,,,
,,,,,,,,,,,,233991_at,,210852_s_at,,,
,,,,,,,,,,,,233994_at,,226623_at,,,
,,,,,,,,,,,,234086_at,,204754_at,,,
,,,,,,,,,,,,234119_at,,205597_at,,,
,,,,,,,,,,,,234122_at,,236359_at,,,
,,,,,,,,,,,,234196_at,,1557774_at,,,
,,,,,,,,,,,,234720_s_at,,238853_at,,,
,,,,,,,,,,,,234778_at,,231399_at,,,
,,,,,,,,,,,,235006_at,,225627_s_at,,,
,,,,,,,,,,,,235066_at,,204983_s_at,,,
,,,,,,,,,,,,235088_at,,204542_at,,,
,,,,,,,,,,,,235092_at,,207076_s_at,,,
,,,,,,,,,,,,235094_at,,1562775_at,,,
,,,,,,,,,,,,235128_at,,239994_at,,,
,,,,,,,,,,,,235272_at,,216367_at,,,
,,,,,,,,,,,,235281_x_at,,1554842_at,,,
,,,,,,,,,,,,235306_at,,241998_at,,,
,,,,,,,,,,,,235315_at,,222798_at,,,
,,,,,,,,,,,,235490_at,,215975_x_at,,,
,,,,,,,,,,,,235531_at,,228925_at,,,
,,,,,,,,,,,,235680_at,,209459_s_at,,,
,,,,,,,,,,,,235742_at,,212768_s_at,,,
,,,,,,,,,,,,235881_at,,235578_at,,,
,,,,,,,,,,,,235914_at,,1568770_at,,,
,,,,,,,,,,,,235922_at,,224458_at,,,
,,,,,,,,,,,,235978_at,,216143_at,,,
,,,,,,,,,,,,236418_at,,203425_s_at,,,
,,,,,,,,,,,,236449_at,,1552843_at,,,
,,,,,,,,,,,,236455_at,,1554536_at,,,
,,,,,,,,,,,,236516_at,,203682_s_at,,,
,,,,,,,,,,,,236671_at,,235677_at,,,
,,,,,,,,,,,,236804_at,,221030_s_at,,,
,,,,,,,,,,,,236897_at,,206010_at,,,
,,,,,,,,,,,,236907_at,,215842_s_at,,,
,,,,,,,,,,,,237252_at,,211196_at,,,
,,,,,,,,,,,,237401_at,,234310_s_at,,,
,,,,,,,,,,,,237561_x_at,,225575_at,,,
,,,,,,,,,,,,237570_x_at,,1556687_a_at,,,
,,,,,,,,,,,,237624_at,,208562_s_at,,,
,,,,,,,,,,,,237664_at,,215432_at,,,
,,,,,,,,,,,,237703_at,,211074_at,,,
,,,,,,,,,,,,238015_at,,228268_at,,,
,,,,,,,,,,,,238062_at,,220029_at,,,
,,,,,,,,,,,,238075_at,,232898_at,,,
,,,,,,,,,,,,238131_at,,203435_s_at,,,
,,,,,,,,,,,,238151_at,,244554_at,,,
,,,,,,,,,,,,238410_x_at,,1569434_at,,,
,,,,,,,,,,,,238411_x_at,,243574_at,,,
,,,,,,,,,,,,238590_x_at,,210816_s_at,,,
,,,,,,,,,,,,238855_at,,216889_s_at,,,
,,,,,,,,,,,,238909_at,,240322_at,,,
,,,,,,,,,,,,238967_at,,218967_s_at,,,
,,,,,,,,,,,,239220_at,,207924_x_at,,,
,,,,,,,,,,,,239262_at,,211557_x_at,,,
,,,,,,,,,,,,239328_at,,226829_at,,,
,,,,,,,,,,,,239689_at,,224821_at,,,
,,,,,,,,,,,,239824_s_at,,210839_s_at,,,
,,,,,,,,,,,,239834_at,,1555286_at,,,
,,,,,,,,,,,,240202_x_at,,1563454_at,,,
,,,,,,,,,,,,240295_at,,211385_x_at,,,
,,,,,,,,,,,,240435_at,,221990_at,,,
,,,,,,,,,,,,240450_at,,210051_at,,,
,,,,,,,,,,,,240542_at,,229599_at,,,
,,,,,,,,,,,,240645_at,,1566177_at,,,
,,,,,,,,,,,,240646_at,,219516_at,,,
,,,,,,,,,,,,240765_at,,205757_at,,,
,,,,,,,,,,,,240955_at,,210402_at,,,
,,,,,,,,,,,,241178_at,,202502_at,,,
,,,,,,,,,,,,241241_at,,210096_at,,,
,,,,,,,,,,,,241373_at,,1570230_at,,,
,,,,,,,,,,,,241619_at,,229341_at,,,
,,,,,,,,,,,,241679_at,,236150_at,,,
,,,,,,,,,,,,241759_at,,233367_at,,,
,,,,,,,,,,,,241824_at,,216488_s_at,,,
,,,,,,,,,,,,241897_at,,201562_s_at,,,
,,,,,,,,,,,,241944_x_at,,241123_at,,,
,,,,,,,,,,,,242361_at,,222102_at,,,
,,,,,,,,,,,,242665_at,,210375_at,,,
,,,,,,,,,,,,243012_at,,217113_at,,,
,,,,,,,,,,,,243030_at,,227690_at,,,
,,,,,,,,,,,,243133_at,,244726_at,,,
,,,,,,,,,,,,243213_at,,237634_at,,,
,,,,,,,,,,,,243215_at,,219525_at,,,
,,,,,,,,,,,,243322_at,,221662_s_at,,,
,,,,,,,,,,,,243401_at,,229254_at,,,
,,,,,,,,,,,,243511_at,,210906_x_at,,,
,,,,,,,,,,,,243584_at,,243255_at,,,
,,,,,,,,,,,,243727_at,,211959_at,,,
,,,,,,,,,,,,243_g_at,,232942_at,,,
,,,,,,,,,,,,244115_at,,228613_at,,,
,,,,,,,,,,,,244225_x_at,,207761_s_at,,,
,,,,,,,,,,,,244250_at,,243711_at,,,
,,,,,,,,,,,,244356_at,,226649_at,,,
,,,,,,,,,,,,244461_at,,1565880_at,,,
,,,,,,,,,,,,244658_at,,218180_s_at,,,
,,,,,,,,,,,,244869_at,,207212_at,,,
