QCAT,QCMAT,GRIT1,SDSAST,AMAT1,IGT,ENDAT,IRRAT,NKB,TCB,BAT,MCAT,IRITD3,IRITD5,KT1,KT2,KT1.1,KT2.1
,,,,,,,,,,,,244870_at,,1561676_at,,,
,,,,,,,,,,,,31846_at,,243580_at,,,
,,,,,,,,,,,,33850_at,,211630_s_at,,,
,,,,,,,,,,,,56197_at,,203672_x_at,,,
,,,,,,,,,,,,823_at,,239929_at,,,
,,,,,,,,,,,,,,226440_at,,,
,,,,,,,,,,,,,,207434_s_at,,,
,,,,,,,,,,,,,,223103_at,,,
,,,,,,,,,,,,,,218345_at,,,
,,,,,,,,,,,,,,220801_s_at,,,
,,,,,,,,,,,,,,244410_at,,,
,,,,,,,,,,,,,,200632_s_at,,,
,,,,,,,,,,,,,,226933_s_at,,,
,,,,,,,,,,,,,,244193_at,,,
,,,,,,,,,,,,,,205736_at,,,
,,,,,,,,,,,,,,244780_at,,,
,,,,,,,,,,,,,,220186_s_at,,,
,,,,,,,,,,,,,,216070_at,,,
,,,,,,,,,,,,,,207696_at,,,
,,,,,,,,,,,,,,210165_at,,,
,,,,,,,,,,,,,,238946_at,,,
,,,,,,,,,,,,,,214999_s_at,,,
,,,,,,,,,,,,,,209047_at,,,
,,,,,,,,,,,,,,240200_at,,,
,,,,,,,,,,,,,,228730_s_at,,,
,,,,,,,,,,,,,,226594_at,,,
,,,,,,,,,,,,,,237253_at,,,
,,,,,,,,,,,,,,223509_at,,,
,,,,,,,,,,,,,,201539_s_at,,,
,,,,,,,,,,,,,,202177_at,,,
,,,,,,,,,,,,,,231217_at,,,
,,,,,,,,,,,,,,231686_at,,,
,,,,,,,,,,,,,,214528_s_at,,,
,,,,,,,,,,,,,,229529_at,,,
,,,,,,,,,,,,,,216623_x_at,,,
,,,,,,,,,,,,,,201280_s_at,,,
,,,,,,,,,,,,,,208006_at,,,
,,,,,,,,,,,,,,230686_s_at,,,
,,,,,,,,,,,,,,214832_at,,,
,,,,,,,,,,,,,,240047_at,,,
,,,,,,,,,,,,,,1562981_at,,,
,,,,,,,,,,,,,,205489_at,,,
,,,,,,,,,,,,,,203933_at,,,
,,,,,,,,,,,,,,205800_at,,,
,,,,,,,,,,,,,,234730_s_at,,,
,,,,,,,,,,,,,,220510_at,,,
,,,,,,,,,,,,,,1561699_a_at,,,
,,,,,,,,,,,,,,237290_at,,,
,,,,,,,,,,,,,,207766_at,,,
,,,,,,,,,,,,,,206786_at,,,
,,,,,,,,,,,,,,233275_at,,,
,,,,,,,,,,,,,,217265_at,,,
,,,,,,,,,,,,,,204264_at,,,
,,,,,,,,,,,,,,1557661_at,,,
,,,,,,,,,,,,,,209660_at,,,
,,,,,,,,,,,,,,202982_s_at,,,
,,,,,,,,,,,,,,1563104_at,,,
,,,,,,,,,,,,,,203557_s_at,,,
,,,,,,,,,,,,,,228717_at,,,
,,,,,,,,,,,,,,234888_at,,,
,,,,,,,,,,,,,,244687_at,,,
,,,,,,,,,,,,,,205208_at,,,
,,,,,,,,,,,,,,201035_s_at,,,
,,,,,,,,,,,,,,1558680_s_at,,,
,,,,,,,,,,,,,,244627_at,,,
,,,,,,,,,,,,,,217200_x_at,,,
,,,,,,,,,,,,,,214265_at,,,
,,,,,,,,,,,,,,238655_at,,,
,,,,,,,,,,,,,,218717_s_at,,,
,,,,,,,,,,,,,,217583_at,,,
,,,,,,,,,,,,,,204044_at,,,
,,,,,,,,,,,,,,221368_at,,,
,,,,,,,,,,,,,,242733_at,,,
,,,,,,,,,,,,,,206930_at,,,
,,,,,,,,,,,,,,210343_s_at,,,
,,,,,,,,,,,,,,205222_at,,,
,,,,,,,,,,,,,,1568600_at,,,
,,,,,,,,,,,,,,209293_x_at,,,
,,,,,,,,,,,,,,242372_s_at,,,
,,,,,,,,,,,,,,214889_at,,,
,,,,,,,,,,,,,,214505_s_at,,,
,,,,,,,,,,,,,,205942_s_at,,,
,,,,,,,,,,,,,,210095_s_at,,,
,,,,,,,,,,,,,,213564_x_at,,,
,,,,,,,,,,,,,,1565879_at,,,
,,,,,,,,,,,,,,228375_at,,,
,,,,,,,,,,,,,,230471_at,,,
,,,,,,,,,,,,,,216762_at,,,
,,,,,,,,,,,,,,209624_s_at,,,
,,,,,,,,,,,,,,1570090_at,,,
,,,,,,,,,,,,,,204984_at,,,
,,,,,,,,,,,,,,209163_at,,,
,,,,,,,,,,,,,,221210_s_at,,,
,,,,,,,,,,,,,,229456_s_at,,,
,,,,,,,,,,,,,,211552_s_at,,,
,,,,,,,,,,,,,,1559152_at,,,
,,,,,,,,,,,,,,219134_at,,,
,,,,,,,,,,,,,,218087_s_at,,,
,,,,,,,,,,,,,,228384_s_at,,,
,,,,,,,,,,,,,,213910_at,,,
,,,,,,,,,,,,,,1569683_at,,,
,,,,,,,,,,,,,,209919_x_at,,,
,,,,,,,,,,,,,,244530_at,,,
,,,,,,,,,,,,,,229070_at,,,
,,,,,,,,,,,,,,205876_at,,,
,,,,,,,,,,,,,,206582_s_at,,,
,,,,,,,,,,,,,,1568718_at,,,
,,,,,,,,,,,,,,213713_s_at,,,
,,,,,,,,,,,,,,209822_s_at,,,
,,,,,,,,,,,,,,1554778_at,,,
,,,,,,,,,,,,,,204254_s_at,,,
,,,,,,,,,,,,,,206209_s_at,,,
,,,,,,,,,,,,,,233388_at,,,
,,,,,,,,,,,,,,1563253_s_at,,,
,,,,,,,,,,,,,,208435_s_at,,,
,,,,,,,,,,,,,,1598_g_at,,,
,,,,,,,,,,,,,,241967_at,,,
,,,,,,,,,,,,,,217232_x_at,,,
,,,,,,,,,,,,,,204429_s_at,,,
,,,,,,,,,,,,,,226597_at,,,
,,,,,,,,,,,,,,231516_at,,,
,,,,,,,,,,,,,,223471_at,,,
,,,,,,,,,,,,,,236496_at,,,
,,,,,,,,,,,,,,203914_x_at,,,
,,,,,,,,,,,,,,210493_s_at,,,
,,,,,,,,,,,,,,238789_at,,,
,,,,,,,,,,,,,,230803_s_at,,,
,,,,,,,,,,,,,,219204_s_at,,,
,,,,,,,,,,,,,,233497_at,,,
,,,,,,,,,,,,,,1563010_at,,,
,,,,,,,,,,,,,,240815_at,,,
,,,,,,,,,,,,,,230745_s_at,,,
,,,,,,,,,,,,,,1552719_at,,,
,,,,,,,,,,,,,,229724_at,,,
,,,,,,,,,,,,,,217751_at,,,
,,,,,,,,,,,,,,1569847_at,,,
,,,,,,,,,,,,,,232361_s_at,,,
,,,,,,,,,,,,,,223784_at,,,
,,,,,,,,,,,,,,203500_at,,,
,,,,,,,,,,,,,,1562286_at,,,
,,,,,,,,,,,,,,1555553_a_at,,,
,,,,,,,,,,,,,,205357_s_at,,,
,,,,,,,,,,,,,,219902_at,,,
,,,,,,,,,,,,,,203609_s_at,,,
,,,,,,,,,,,,,,1558322_a_at,,,
,,,,,,,,,,,,,,209278_s_at,,,
,,,,,,,,,,,,,,232376_at,,,
,,,,,,,,,,,,,,217127_at,,,
,,,,,,,,,,,,,,207211_at,,,
,,,,,,,,,,,,,,204289_at,,,
,,,,,,,,,,,,,,210063_at,,,
,,,,,,,,,,,,,,223722_at,,,
,,,,,,,,,,,,,,1564134_at,,,
,,,,,,,,,,,,,,243044_at,,,
,,,,,,,,,,,,,,209781_s_at,,,
,,,,,,,,,,,,,,218552_at,,,
,,,,,,,,,,,,,,211726_s_at,,,
,,,,,,,,,,,,,,238428_at,,,
,,,,,,,,,,,,,,210761_s_at,,,
,,,,,,,,,,,,,,207407_x_at,,,
,,,,,,,,,,,,,,212328_at,,,
,,,,,,,,,,,,,,239087_at,,,
,,,,,,,,,,,,,,200648_s_at,,,
,,,,,,,,,,,,,,240159_at,,,
,,,,,,,,,,,,,,223278_at,,,
,,,,,,,,,,,,,,207177_at,,,
,,,,,,,,,,,,,,235452_at,,,
,,,,,,,,,,,,,,202454_s_at,,,
,,,,,,,,,,,,,,230813_at,,,
,,,,,,,,,,,,,,1561316_at,,,
,,,,,,,,,,,,,,208561_at,,,
,,,,,,,,,,,,,,243424_at,,,
,,,,,,,,,,,,,,237847_at,,,
,,,,,,,,,,,,,,228802_at,,,
,,,,,,,,,,,,,,213050_at,,,
,,,,,,,,,,,,,,244477_at,,,
,,,,,,,,,,,,,,239345_at,,,
,,,,,,,,,,,,,,225513_at,,,
,,,,,,,,,,,,,,242055_at,,,
,,,,,,,,,,,,,,221588_x_at,,,
,,,,,,,,,,,,,,217167_x_at,,,
,,,,,,,,,,,,,,231919_at,,,
,,,,,,,,,,,,,,218688_at,,,
,,,,,,,,,,,,,,1554027_a_at,,,
,,,,,,,,,,,,,,229241_at,,,
,,,,,,,,,,,,,,224327_s_at,,,
,,,,,,,,,,,,,,243800_at,,,
,,,,,,,,,,,,,,243990_at,,,
,,,,,,,,,,,,,,209116_x_at,,,
,,,,,,,,,,,,,,230554_at,,,
,,,,,,,,,,,,,,223619_x_at,,,
,,,,,,,,,,,,,,202973_x_at,,,
,,,,,,,,,,,,,,239092_at,,,
,,,,,,,,,,,,,,210328_at,,,
,,,,,,,,,,,,,,236409_at,,,
,,,,,,,,,,,,,,225775_at,,,
,,,,,,,,,,,,,,1554524_a_at,,,
,,,,,,,,,,,,,,206517_at,,,
,,,,,,,,,,,,,,231051_at,,,
,,,,,,,,,,,,,,209424_s_at,,,
,,,,,,,,,,,,,,227828_s_at,,,
,,,,,,,,,,,,,,208317_at,,,
,,,,,,,,,,,,,,219869_s_at,,,
,,,,,,,,,,,,,,1555497_a_at,,,
,,,,,,,,,,,,,,1563252_at,,,
,,,,,,,,,,,,,,207387_s_at,,,
,,,,,,,,,,,,,,1560621_at,,,
,,,,,,,,,,,,,,208544_at,,,
,,,,,,,,,,,,,,220532_s_at,,,
,,,,,,,,,,,,,,218931_at,,,
,,,,,,,,,,,,,,202555_s_at,,,
,,,,,,,,,,,,,,241854_at,,,
,,,,,,,,,,,,,,203215_s_at,,,
,,,,,,,,,,,,,,216896_at,,,
,,,,,,,,,,,,,,223422_s_at,,,
,,,,,,,,,,,,,,201348_at,,,
,,,,,,,,,,,,,,205674_x_at,,,
,,,,,,,,,,,,,,225311_at,,,
,,,,,,,,,,,,,,208135_at,,,
,,,,,,,,,,,,,,209916_at,,,
,,,,,,,,,,,,,,1555203_s_at,,,
,,,,,,,,,,,,,,1563466_at,,,
,,,,,,,,,,,,,,211909_x_at,,,
,,,,,,,,,,,,,,203541_s_at,,,
,,,,,,,,,,,,,,211569_s_at,,,
,,,,,,,,,,,,,,233306_at,,,
,,,,,,,,,,,,,,239148_at,,,
,,,,,,,,,,,,,,1566080_at,,,
,,,,,,,,,,,,,,202960_s_at,,,
,,,,,,,,,,,,,,1557924_s_at,,,
,,,,,,,,,,,,,,223805_at,,,
,,,,,,,,,,,,,,205506_at,,,
,,,,,,,,,,,,,,226462_at,,,
,,,,,,,,,,,,,,201163_s_at,,,
,,,,,,,,,,,,,,1554499_s_at,,,
,,,,,,,,,,,,,,207986_x_at,,,
,,,,,,,,,,,,,,1562799_at,,,
,,,,,,,,,,,,,,1560884_at,,,
,,,,,,,,,,,,,,222844_s_at,,,
,,,,,,,,,,,,,,1569025_s_at,,,
,,,,,,,,,,,,,,204931_at,,,
,,,,,,,,,,,,,,1557374_at,,,
,,,,,,,,,,,,,,203542_s_at,,,
,,,,,,,,,,,,,,217238_s_at,,,
,,,,,,,,,,,,,,1553319_at,,,
,,,,,,,,,,,,,,1557453_at,,,
,,,,,,,,,,,,,,207709_at,,,
,,,,,,,,,,,,,,203424_s_at,,,
,,,,,,,,,,,,,,205412_at,,,
,,,,,,,,,,,,,,224189_x_at,,,
,,,,,,,,,,,,,,1559739_at,,,
,,,,,,,,,,,,,,214308_s_at,,,
,,,,,,,,,,,,,,201058_s_at,,,
,,,,,,,,,,,,,,204777_s_at,,,
,,,,,,,,,,,,,,1558549_s_at,,,
,,,,,,,,,,,,,,214774_x_at,,,
,,,,,,,,,,,,,,205058_at,,,
,,,,,,,,,,,,,,220816_at,,,
,,,,,,,,,,,,,,205190_at,,,
,,,,,,,,,,,,,,205593_s_at,,,
,,,,,,,,,,,,,,208327_at,,,
,,,,,,,,,,,,,,213716_s_at,,,
,,,,,,,,,,,,,,237049_at,,,
,,,,,,,,,,,,,,201148_s_at,,,
,,,,,,,,,,,,,,210831_s_at,,,
,,,,,,,,,,,,,,234077_at,,,
,,,,,,,,,,,,,,230875_s_at,,,
,,,,,,,,,,,,,,237505_at,,,
,,,,,,,,,,,,,,231156_at,,,
,,,,,,,,,,,,,,234980_at,,,
,,,,,,,,,,,,,,216958_s_at,,,
,,,,,,,,,,,,,,201030_x_at,,,
,,,,,,,,,,,,,,206208_at,,,
,,,,,,,,,,,,,,203671_at,,,
,,,,,,,,,,,,,,207923_x_at,,,
,,,,,,,,,,,,,,222714_s_at,,,
,,,,,,,,,,,,,,234452_at,,,
,,,,,,,,,,,,,,1552478_a_at,,,
,,,,,,,,,,,,,,221590_s_at,,,
,,,,,,,,,,,,,,206054_at,,,
,,,,,,,,,,,,,,219454_at,,,
,,,,,,,,,,,,,,209070_s_at,,,
,,,,,,,,,,,,,,242071_x_at,,,
,,,,,,,,,,,,,,224707_at,,,
,,,,,,,,,,,,,,232193_at,,,
,,,,,,,,,,,,,,1569208_a_at,,,
,,,,,,,,,,,,,,213005_s_at,,,
,,,,,,,,,,,,,,201563_at,,,
,,,,,,,,,,,,,,205175_s_at,,,
,,,,,,,,,,,,,,1561104_at,,,
,,,,,,,,,,,,,,1558630_at,,,
,,,,,,,,,,,,,,240285_at,,,
,,,,,,,,,,,,,,212951_at,,,
,,,,,,,,,,,,,,218845_at,,,
,,,,,,,,,,,,,,242571_at,,,
,,,,,,,,,,,,,,208318_s_at,,,
,,,,,,,,,,,,,,224619_at,,,
,,,,,,,,,,,,,,1566571_at,,,
,,,,,,,,,,,,,,211260_at,,,
,,,,,,,,,,,,,,1565799_at,,,
,,,,,,,,,,,,,,1562321_at,,,
,,,,,,,,,,,,,,205342_s_at,,,
,,,,,,,,,,,,,,242338_at,,,
,,,,,,,,,,,,,,211470_s_at,,,
,,,,,,,,,,,,,,212703_at,,,
,,,,,,,,,,,,,,214829_at,,,
,,,,,,,,,,,,,,207921_x_at,,,
,,,,,,,,,,,,,,202525_at,,,
,,,,,,,,,,,,,,209368_at,,,
,,,,,,,,,,,,,,214890_s_at,,,
,,,,,,,,,,,,,,202035_s_at,,,
,,,,,,,,,,,,,,213582_at,,,
,,,,,,,,,,,,,,1566965_at,,,
,,,,,,,,,,,,,,207373_at,,,
,,,,,,,,,,,,,,210403_s_at,,,
,,,,,,,,,,,,,,209266_s_at,,,
,,,,,,,,,,,,,,205232_s_at,,,
,,,,,,,,,,,,,,227172_at,,,
,,,,,,,,,,,,,,240910_at,,,
,,,,,,,,,,,,,,222935_x_at,,,
,,,,,,,,,,,,,,204154_at,,,
,,,,,,,,,,,,,,235153_at,,,
,,,,,,,,,,,,,,223535_at,,,
,,,,,,,,,,,,,,1553715_s_at,,,
,,,,,,,,,,,,,,205768_s_at,,,
,,,,,,,,,,,,,,231634_at,,,
,,,,,,,,,,,,,,209425_at,,,
,,,,,,,,,,,,,,1569926_s_at,,,
,,,,,,,,,,,,,,223782_s_at,,,
,,,,,,,,,,,,,,217530_at,,,
,,,,,,,,,,,,,,232244_at,,,
,,,,,,,,,,,,,,230364_at,,,
,,,,,,,,,,,,,,222718_at,,,
,,,,,,,,,,,,,,218353_at,,,
,,,,,,,,,,,,,,210298_x_at,,,
,,,,,,,,,,,,,,210480_s_at,,,
,,,,,,,,,,,,,,227425_at,,,
,,,,,,,,,,,,,,242796_x_at,,,
,,,,,,,,,,,,,,236432_at,,,
,,,,,,,,,,,,,,209164_s_at,,,
,,,,,,,,,,,,,,1556294_at,,,
,,,,,,,,,,,,,,219543_at,,,
,,,,,,,,,,,,,,203058_s_at,,,
,,,,,,,,,,,,,,230481_at,,,
,,,,,,,,,,,,,,203681_at,,,
,,,,,,,,,,,,,,207981_s_at,,,
,,,,,,,,,,,,,,201036_s_at,,,
,,,,,,,,,,,,,,1554779_s_at,,,
,,,,,,,,,,,,,,237162_at,,,
,,,,,,,,,,,,,,204255_s_at,,,
,,,,,,,,,,,,,,225645_at,,,
,,,,,,,,,,,,,,203038_at,,,
,,,,,,,,,,,,,,227816_at,,,
,,,,,,,,,,,,,,214069_at,,,
,,,,,,,,,,,,,,1564128_at,,,
,,,,,,,,,,,,,,210374_x_at,,,
,,,,,,,,,,,,,,244384_at,,,
,,,,,,,,,,,,,,1563034_at,,,
,,,,,,,,,,,,,,1560728_at,,,
,,,,,,,,,,,,,,211204_at,,,
,,,,,,,,,,,,,,224932_at,,,
,,,,,,,,,,,,,,231676_s_at,,,
,,,,,,,,,,,,,,202597_at,,,
,,,,,,,,,,,,,,208383_s_at,,,
,,,,,,,,,,,,,,219127_at,,,
,,,,,,,,,,,,,,232742_at,,,
,,,,,,,,,,,,,,204076_at,,,
,,,,,,,,,,,,,,1570181_a_at,,,
,,,,,,,,,,,,,,235867_at,,,
,,,,,,,,,,,,,,211705_s_at,,,
,,,,,,,,,,,,,,229526_at,,,
,,,,,,,,,,,,,,240526_at,,,
,,,,,,,,,,,,,,215299_x_at,,,
,,,,,,,,,,,,,,240873_x_at,,,
,,,,,,,,,,,,,,205816_at,,,
,,,,,,,,,,,,,,220994_s_at,,,
,,,,,,,,,,,,,,233770_at,,,
,,,,,,,,,,,,,,223075_s_at,,,
,,,,,,,,,,,,,,217487_x_at,,,
,,,,,,,,,,,,,,236775_s_at,,,
,,,,,,,,,,,,,,1566081_at,,,
,,,,,,,,,,,,,,206947_at,,,
,,,,,,,,,,,,,,216368_s_at,,,
,,,,,,,,,,,,,,235155_at,,,
,,,,,,,,,,,,,,204646_at,,,
,,,,,,,,,,,,,,212977_at,,,
,,,,,,,,,,,,,,238862_at,,,
,,,,,,,,,,,,,,214433_s_at,,,
,,,,,,,,,,,,,,221188_s_at,,,
,,,,,,,,,,,,,,212325_at,,,
,,,,,,,,,,,,,,225861_at,,,
,,,,,,,,,,,,,,205978_at,,,
,,,,,,,,,,,,,,233607_at,,,
,,,,,,,,,,,,,,1554837_a_at,,,
,,,,,,,,,,,,,,209460_at,,,
,,,,,,,,,,,,,,241436_at,,,
,,,,,,,,,,,,,,1554931_at,,,
,,,,,,,,,,,,,,227113_at,,,
,,,,,,,,,,,,,,221218_s_at,,,
,,,,,,,,,,,,,,1556923_at,,,
,,,,,,,,,,,,,,39248_at,,,
,,,,,,,,,,,,,,204043_at,,,
,,,,,,,,,,,,,,209114_at,,,
,,,,,,,,,,,,,,209469_at,,,
,,,,,,,,,,,,,,206775_at,,,
,,,,,,,,,,,,,,1554534_at,,,
,,,,,,,,,,,,,,231154_x_at,,,
,,,,,,,,,,,,,,220580_at,,,
,,,,,,,,,,,,,,203789_s_at,,,
,,,,,,,,,,,,,,239714_at,,,
,,,,,,,,,,,,,,1568620_at,,,
,,,,,,,,,,,,,,206457_s_at,,,
,,,,,,,,,,,,,,1570141_at,,,
,,,,,,,,,,,,,,221675_s_at,,,
,,,,,,,,,,,,,,219554_at,,,
,,,,,,,,,,,,,,201278_at,,,
,,,,,,,,,,,,,,208169_s_at,,,
,,,,,,,,,,,,,,241694_at,,,
,,,,,,,,,,,,,,237989_at,,,
,,,,,,,,,,,,,,1552713_a_at,,,
,,,,,,,,,,,,,,230774_at,,,
,,,,,,,,,,,,,,210068_s_at,,,
,,,,,,,,,,,,,,229916_at,,,
,,,,,,,,,,,,,,229292_at,,,
,,,,,,,,,,,,,,1560885_x_at,,,
,,,,,,,,,,,,,,231213_at,,,
,,,,,,,,,,,,,,222866_s_at,,,
,,,,,,,,,,,,,,210372_s_at,,,
,,,,,,,,,,,,,,208943_s_at,,,
,,,,,,,,,,,,,,220988_s_at,,,
,,,,,,,,,,,,,,210807_s_at,,,
,,,,,,,,,,,,,,231070_at,,,
,,,,,,,,,,,,,,217973_at,,,
,,,,,,,,,,,,,,236540_at,,,
,,,,,,,,,,,,,,221882_s_at,,,
,,,,,,,,,,,,,,209531_at,,,
,,,,,,,,,,,,,,1553599_a_at,,,
,,,,,,,,,,,,,,218976_at,,,
,,,,,,,,,,,,,,1559780_at,,,
,,,,,,,,,,,,,,211174_s_at,,,
,,,,,,,,,,,,,,215867_x_at,,,
,,,,,,,,,,,,,,211806_s_at,,,
,,,,,,,,,,,,,,1566966_at,,,
,,,,,,,,,,,,,,209426_s_at,,,
,,,,,,,,,,,,,,229400_at,,,
,,,,,,,,,,,,,,219655_at,,,
,,,,,,,,,,,,,,209160_at,,,
,,,,,,,,,,,,,,201508_at,,,
,,,,,,,,,,,,,,204845_s_at,,,
,,,,,,,,,,,,,,205776_at,,,
,,,,,,,,,,,,,,240788_at,,,
,,,,,,,,,,,,,,209552_at,,,
,,,,,,,,,,,,,,228455_at,,,
,,,,,,,,,,,,,,230250_at,,,
,,,,,,,,,,,,,,205960_at,,,
,,,,,,,,,,,,,,240480_at,,,
,,,,,,,,,,,,,,230074_s_at,,,
,,,,,,,,,,,,,,237029_at,,,
,,,,,,,,,,,,,,205985_x_at,,,
,,,,,,,,,,,,,,203698_s_at,,,
,,,,,,,,,,,,,,205075_at,,,
,,,,,,,,,,,,,,1554526_at,,,
,,,,,,,,,,,,,,208951_at,,,
,,,,,,,,,,,,,,225974_at,,,
,,,,,,,,,,,,,,218440_at,,,
,,,,,,,,,,,,,,1556284_at,,,
,,,,,,,,,,,,,,1562502_at,,,
,,,,,,,,,,,,,,214621_at,,,
,,,,,,,,,,,,,,1570486_at,,,
,,,,,,,,,,,,,,203722_at,,,
,,,,,,,,,,,,,,216316_x_at,,,
,,,,,,,,,,,,,,202959_at,,,
,,,,,,,,,,,,,,232628_at,,,
,,,,,,,,,,,,,,205012_s_at,,,
,,,,,,,,,,,,,,212070_at,,,
,,,,,,,,,,,,,,221302_at,,,
,,,,,,,,,,,,,,244301_at,,,
,,,,,,,,,,,,,,204263_s_at,,,
,,,,,,,,,,,,,,210843_s_at,,,
,,,,,,,,,,,,,,244723_at,,,
,,,,,,,,,,,,,,225342_at,,,
,,,,,,,,,,,,,,1565832_at,,,
,,,,,,,,,,,,,,237482_s_at,,,
,,,,,,,,,,,,,,225352_at,,,
,,,,,,,,,,,,,,1566569_at,,,
,,,,,,,,,,,,,,220084_at,,,
,,,,,,,,,,,,,,218864_at,,,
,,,,,,,,,,,,,,207656_s_at,,,
,,,,,,,,,,,,,,210832_x_at,,,
,,,,,,,,,,,,,,225573_at,,,
,,,,,,,,,,,,,,1558440_at,,,
,,,,,,,,,,,,,,231590_at,,,
,,,,,,,,,,,,,,213724_s_at,,,
,,,,,,,,,,,,,,242223_at,,,
,,,,,,,,,,,,,,209616_s_at,,,
,,,,,,,,,,,,,,239836_at,,,
,,,,,,,,,,,,,,1554110_at,,,
,,,,,,,,,,,,,,222083_at,,,
,,,,,,,,,,,,,,1554748_at,,,
,,,,,,,,,,,,,,243127_x_at,,,
,,,,,,,,,,,,,,237350_at,,,
,,,,,,,,,,,,,,235426_at,,,
,,,,,,,,,,,,,,227240_at,,,
,,,,,,,,,,,,,,207717_s_at,,,
,,,,,,,,,,,,,,201415_at,,,
,,,,,,,,,,,,,,210739_x_at,,,
,,,,,,,,,,,,,,1566150_at,,,
,,,,,,,,,,,,,,219044_at,,,
,,,,,,,,,,,,,,205649_s_at,,,
,,,,,,,,,,,,,,205233_s_at,,,
,,,,,,,,,,,,,,237637_at,,,
,,,,,,,,,,,,,,1569024_at,,,
,,,,,,,,,,,,,,212651_at,,,
,,,,,,,,,,,,,,220977_x_at,,,
,,,,,,,,,,,,,,223194_s_at,,,
,,,,,,,,,,,,,,1566176_at,,,
,,,,,,,,,,,,,,211184_s_at,,,
,,,,,,,,,,,,,,233594_at,,,
,,,,,,,,,,,,,,206952_at,,,
,,,,,,,,,,,,,,211958_at,,,
,,,,,,,,,,,,,,202331_at,,,
,,,,,,,,,,,,,,214478_at,,,
,,,,,,,,,,,,,,238499_at,,,
,,,,,,,,,,,,,,211696_x_at,,,
,,,,,,,,,,,,,,205969_at,,,
,,,,,,,,,,,,,,220741_s_at,,,
,,,,,,,,,,,,,,1566248_at,,,
,,,,,,,,,,,,,,203071_at,,,
,,,,,,,,,,,,,,1555542_at,,,
,,,,,,,,,,,,,,1554945_x_at,,,
,,,,,,,,,,,,,,227642_at,,,
,,,,,,,,,,,,,,223405_at,,,
,,,,,,,,,,,,,,221605_s_at,,,
,,,,,,,,,,,,,,217289_s_at,,,
,,,,,,,,,,,,,,1568719_s_at,,,
,,,,,,,,,,,,,,203426_s_at,,,
